local_switch,local_interface,remote_switch,remote_interface
s1-leaf1,eth2,s1-spine1,eth2
s1-leaf1,eth3,s1-spine2,eth2
s1-leaf2,eth2,s1-spine1,eth3
s1-leaf2,eth3,s1-spine2,eth3
s1-leaf3,eth2,s1-spine1,eth4
s1-leaf3,eth3,s1-spine2,eth4
s1-leaf4,eth2,s1-spine1,eth5
s1-leaf4,eth3,s1-spine2,eth5
s1-brdr1,eth2,s1-spine1,eth7
s1-brdr1,eth3,s1-spine2,eth7
s1-brdr2,eth2,s1-spine1,eth8
s1-brdr2,eth3,s1-spine2,eth8
s1-spine1,eth1,s1-spine2,eth1
s1-spine1,eth6,s1-spine2,eth6
s1-leaf1,eth1,s1-leaf2,eth1
s1-leaf1,eth6,s1-leaf2,eth6
s1-leaf3,eth1,s1-leaf4,eth1
s1-leaf3,eth6,s1-leaf4,eth6
s1-brdr1,eth1,s1-brdr2,eth1
s1-brdr1,eth6,s1-brdr2,eth6
s1-host1,eth1,s1-leaf1,eth4
s1-host1,eth2,s1-leaf2,eth4
s1-host2,eth1,s1-leaf3,eth4
s1-host2,eth2,s1-leaf4,eth4
s2-leaf1,eth2,s2-spine1,eth2
s2-leaf1,eth3,s2-spine2,eth2
s2-leaf2,eth2,s2-spine1,eth3
s2-leaf2,eth3,s2-spine2,eth3
s2-leaf3,eth2,s2-spine1,eth4
s2-leaf3,eth3,s2-spine2,eth4
s2-leaf4,eth2,s2-spine1,eth5
s2-leaf4,eth3,s2-spine2,eth5
s2-brdr1,eth2,s2-spine1,eth7
s2-brdr1,eth3,s2-spine2,eth7
s2-brdr2,eth2,s2-spine1,eth8
s2-brdr2,eth3,s2-spine2,eth8
s2-spine1,eth1,s2-spine2,eth1
s2-spine1,eth6,s2-spine2,eth6
s2-leaf1,eth1,s2-leaf2,eth1
s2-leaf1,eth6,s2-leaf2,eth6
s2-leaf3,eth1,s2-leaf4,eth1
s2-leaf3,eth6,s2-leaf4,eth6
s2-brdr1,eth1,s2-brdr2,eth1
s2-brdr1,eth6,s2-brdr2,eth6
s2-host1,eth1,s2-leaf1,eth4
s2-host1,eth2,s2-leaf2,eth4
s2-host2,eth1,s2-leaf3,eth4
s2-host2,eth2,s2-leaf4,eth4
s1-core1,eth2,s1-brdr1,eth4
s1-core1,eth3,s1-brdr2,eth4
s1-core2,eth2,s1-brdr1,eth5
s1-core2,eth3,s1-brdr2,eth5
s1-core1,eth1,s1-core2,eth1
s1-core1,eth6,s1-core2,eth6
s2-core1,eth2,s2-brdr1,eth4
s2-core1,eth3,s2-brdr2,eth4
s2-core2,eth2,s2-brdr1,eth5
s2-core2,eth3,s2-brdr2,eth5
s2-core1,eth1,s2-core2,eth1
s2-core1,eth6,s2-core2,eth6
s1-core1,eth4,s2-core1,eth4
s1-core2,eth4,s2-core2,eth4
