Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,A-LEAF1,Ethernet1,192.168.1.1/31,spine,A-SPINE1,Ethernet1,192.168.1.0/31
l3leaf,A-LEAF1,Ethernet2,192.168.1.3/31,spine,A-SPINE2,Ethernet1,192.168.1.2/31
l3leaf,A-LEAF1,Ethernet3,192.168.1.5/31,spine,A-SPINE3,Ethernet1,192.168.1.4/31
l3leaf,A-LEAF1,Ethernet4,192.168.1.7/31,spine,A-SPINE4,Ethernet1,192.168.1.6/31
l3leaf,A-LEAF2,Ethernet1,192.168.1.9/31,spine,A-SPINE1,Ethernet2,192.168.1.8/31
l3leaf,A-LEAF2,Ethernet2,192.168.1.11/31,spine,A-SPINE2,Ethernet2,192.168.1.10/31
l3leaf,A-LEAF2,Ethernet3,192.168.1.13/31,spine,A-SPINE3,Ethernet2,192.168.1.12/31
l3leaf,A-LEAF2,Ethernet4,192.168.1.15/31,spine,A-SPINE4,Ethernet2,192.168.1.14/31
l3leaf,A-LEAF3,Ethernet1,192.168.1.17/31,spine,A-SPINE1,Ethernet3,192.168.1.16/31
l3leaf,A-LEAF3,Ethernet2,192.168.1.19/31,spine,A-SPINE2,Ethernet3,192.168.1.18/31
l3leaf,A-LEAF3,Ethernet3,192.168.1.21/31,spine,A-SPINE3,Ethernet3,192.168.1.20/31
l3leaf,A-LEAF3,Ethernet4,192.168.1.23/31,spine,A-SPINE4,Ethernet3,192.168.1.22/31
l3leaf,A-LEAF4,Ethernet1,192.168.1.25/31,spine,A-SPINE1,Ethernet4,192.168.1.24/31
l3leaf,A-LEAF4,Ethernet2,192.168.1.27/31,spine,A-SPINE2,Ethernet4,192.168.1.26/31
l3leaf,A-LEAF4,Ethernet3,192.168.1.29/31,spine,A-SPINE3,Ethernet4,192.168.1.28/31
l3leaf,A-LEAF4,Ethernet4,192.168.1.31/31,spine,A-SPINE4,Ethernet4,192.168.1.30/31
l3leaf,A-LEAF5,Ethernet1,192.168.1.33/31,spine,A-SPINE1,Ethernet5,192.168.1.32/31
l3leaf,A-LEAF5,Ethernet2,192.168.1.35/31,spine,A-SPINE2,Ethernet5,192.168.1.34/31
l3leaf,A-LEAF5,Ethernet3,192.168.1.37/31,spine,A-SPINE3,Ethernet5,192.168.1.36/31
l3leaf,A-LEAF5,Ethernet4,192.168.1.39/31,spine,A-SPINE4,Ethernet5,192.168.1.38/31
l3leaf,A-LEAF6,Ethernet1,192.168.1.41/31,spine,A-SPINE1,Ethernet6,192.168.1.40/31
l3leaf,A-LEAF6,Ethernet2,192.168.1.43/31,spine,A-SPINE2,Ethernet6,192.168.1.42/31
l3leaf,A-LEAF6,Ethernet3,192.168.1.45/31,spine,A-SPINE3,Ethernet6,192.168.1.44/31
l3leaf,A-LEAF6,Ethernet4,192.168.1.47/31,spine,A-SPINE4,Ethernet6,192.168.1.46/31
l3leaf,A-LEAF7,Ethernet1,192.168.1.49/31,spine,A-SPINE1,Ethernet7,192.168.1.48/31
l3leaf,A-LEAF7,Ethernet2,192.168.1.51/31,spine,A-SPINE2,Ethernet7,192.168.1.50/31
l3leaf,A-LEAF7,Ethernet3,192.168.1.53/31,spine,A-SPINE3,Ethernet7,192.168.1.52/31
l3leaf,A-LEAF7,Ethernet4,192.168.1.55/31,spine,A-SPINE4,Ethernet7,192.168.1.54/31
l3leaf,A-LEAF8,Ethernet1,192.168.1.57/31,spine,A-SPINE1,Ethernet8,192.168.1.56/31
l3leaf,A-LEAF8,Ethernet2,192.168.1.59/31,spine,A-SPINE2,Ethernet8,192.168.1.58/31
l3leaf,A-LEAF8,Ethernet3,192.168.1.61/31,spine,A-SPINE3,Ethernet8,192.168.1.60/31
l3leaf,A-LEAF8,Ethernet4,192.168.1.63/31,spine,A-SPINE4,Ethernet8,192.168.1.62/31
