Device,Test Name,Test Status,Message(s),Test description,Test category
A-SPINE1,VerifyBFDPeersHealth,unset,,Verifies the health of BFD peers across all VRFs.,BFD
A-SPINE1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP peers.,BGP
A-SPINE1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP peers.,BGP
A-SPINE1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP peers.,BGP
A-SPINE1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP peers.,BGP
A-SPINE1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP peers.,BGP
A-SPINE1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP peers.,BGP
A-SPINE1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP peers.,BGP
A-SPINE1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP peers.,BGP
A-SPINE1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP peers.,BGP
A-SPINE1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP peers.,BGP
A-SPINE1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP peers.,BGP
A-SPINE1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP peers.,BGP
A-SPINE1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP peers.,BGP
A-SPINE1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP peers.,BGP
A-SPINE1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP peers.,BGP
A-SPINE1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP peers.,BGP
A-SPINE1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP peers.,BGP
A-SPINE1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP peers.,BGP
A-SPINE1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP peers.,BGP
A-SPINE1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP peers.,BGP
A-SPINE1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP peers.,BGP
A-SPINE1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP peers.,BGP
A-SPINE1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP peers.,BGP
A-SPINE1,VerifyBGPPeerSession,unset,,Verifies the session state of BGP peers.,BGP
A-SPINE1,VerifyBGPPeersHealth,unset,,Verifies the health of BGP peers for given address families.,BGP
A-SPINE1,VerifyEVPNType5Routes,unset,,Verifies EVPN Type-5 routes for given IP prefixes and VNIs.,BGP
A-SPINE1,VerifyRunningConfigDiffs,unset,,Verifies there is no difference between the running-config and the startup-config.,Configuration
A-SPINE1,VerifyRunningConfigDiffs,unset,,Verifies there is no difference between the running-config and the startup-config.,Configuration
A-SPINE1,VerifyRunningConfigDiffs,unset,,Verifies there is no difference between the running-config and the startup-config.,Configuration
